instance type,instances running,sf,parallel queries,repetitions,average execution time,min execution time,max execution time,normalized average,cost overall,cost per query
serverless,0,1,1,10,2453.000000,1993.000000,4008.000000,2453.000000,0.000514,0.000051
c6i_large,1,1,1,10,2462.200000,1763.000000,7574.000000,2462.200000,0.000581,0.000058

serverless,0,10,1,10,2634.100000,2289.000000,4421.000000,2634.100000,0.004570,0.000457
c6i_large,2,10,1,20,5822.700000,5414.000000,6269.000000,5822.700000,0.005499,0.000275
c6i_large,5,10,1,20,2796.150000,2590.000000,4446.000000,2796.150000,0.006602,0.000330

serverless,0,100,1,10,4382.600000,3897.000000,6420.000000,4382.600000,0.045052,0.004505
c6i_large,20,100,1,20,8289.500000,7094.000000,17221.000000,8289.500000,0.078290,0.003914
c6i_large,50,100,1,20,4361.550000,3988.000000,4989.000000,4361.550000,0.102981,0.005149